6.28,Left
16.52,Left
18.14,Right
19.7,Both
24.44,Right
25.98,Right
27.62,Left
28,Right
28.38,Left
31.52,Left
33.92,Right
34.32,Left
34.72,Right
37.08,Right
39.46,Both
41.04,Both
43.4,Right
45.44,Both
46.74,Left
52.06,Both
59.98,Left
62.32,Left
64.7,Both
71.04,Right
72.6,Left
73.4,Both
74.22,Left
77.36,Both
81.32,Right
81.73,Left
82.14,Right
84.42,Left
87.56,Both
88.38,Right
90.74,Both
91.54,Right
93.12,Right
95.48,Right
98.62,Both
100.2,Left
102.6,Right
103.4,Right
107.34,Right
108.52,Left
109.72,Right
111.3,Right
117.62,Both
121.56,Right
123.9,Right
125.52,Both
126.68,Both
127.86,Both
136.54,Right
140.5,Left
144.44,Left
150,Left
151.6,Both
155.5,Right
157.08,Both
158.68,Both
161.24,Left
162.1,Both
163.8,Both
