12.02,Left
13.52,Right
14.68,Both
17.5,Right
18.68,Right
20.62,Right
24.18,Left
26.94,Both
28.14,Both
29.76,Right
31.4,Both
32.58,Left
35.8,Both
40.28,Left
42.3,Right
43.54,Both
48.64,Left
50.64,Left
51.82,Both
53.06,Both
55.08,Right
60.22,Right
61.84,Both
64.58,Right
68.58,Both
69.76,Left
71.76,Right
73,Right
78.28,Both
80.3,Right
83.98,Both
86.46,Right
89.66,Both
90.86,Both
92.04,Both
97.26,Right
99.36,Left
101.86,Left
105.1,Left
107.12,Left
108.7,Right
110.7,Left
112.68,Left
113.86,Both
115.42,Both
119.4,Right
122.58,Right
127.12,Left
129.22,Left
131.68,Left
134.14,Right
137,Right
139.02,Both
140.72,Right
140.93,Left
141.14,Right
142.36,Right
144.8,Both
146.46,Right
146.66,Left
146.86,Right
148.04,Right
153.98,Right
155.12,Right
157.5,Left
159.92,Right
162.06,Both
