17.36,Left
19.34,Right
20.68,Both
24.66,Right
26,Right
28.66,Right
30,Left
31.98,Right
33,Right
34.64,Both
35.66,Both
37.16,Right
38.66,Both
39.66,Left
42.34,Both
46,Left
47.64,Right
48.66,Both
52.96,Left
54.66,Left
55.66,Both
56.66,Both
58.34,Right
61.98,Both
63,Right
64.32,Both
66.68,Right
71.34,Both
72.66,Left
75.32,Right
76.68,Right
84.66,Both
87.34,Right
92.64,Both
96,Right
97.98,Right
99.34,Both
100.66,Both
102,Both
109.8,Right
112.02,Left
114.66,Left
117.34,Left
119,Left
120.66,Right
122.32,Left
124,Left
125,Both
126.32,Both
130,Right
132.66,Right
136.32,Left
138,Left
140.12,Left
