13.8,Left
17.62,Both
20.96,Right
22.38,Right
24.76,Right
29.06,Left
32.38,Left
34.28,Both
37.38,Both
38.8,Left
42.62,Both
47.84,Left
58.34,Left
60.72,Left
62.14,Both
63.56,Right
65.48,Right
71.66,Right
73.56,Left
76.42,Right
81.92,Both
86.2,Right
94.28,Right
96.2,Right
100.48,Right
102.86,Right
106.66,Both
108.1,Left
115.48,Right
117.86,Left
120.7,Left
125.96,Left
132.14,Left
134.52,Left
135.96,Both
137.86,Right
142.16,Right
151.7,Left
154.04,Left
156.92,Left
163.6,Right
165.96,Both
167.86,Left
172.14,Right
173.58,Left
182.38,Right
183.82,Right
188.34,Left
191.18,Right
193.1,Both
195.96,Left
197.38,Left
198.8,Right
203.58,Right
208.34,Right
211.9,Left
215.72,Both
