14.76,Left
16.4,Right
17.5,Both
20.76,Right
21.86,Right
24.04,Right
28.4,Left
31.68,Both
32.78,Both
34.4,Right
36.04,Both
37.14,Left
40.94,Both
46.4,Left
48.58,Right
49.68,Both
56.22,Left
58.4,Left
59.5,Both
60.58,Both
62.78,Right
67.68,Both
68.76,Right
70.4,Both
73.68,Right
78.58,Both
79.68,Left
81.86,Right
82.94,Right
89.5,Both
91.68,Right
96.04,Both
98.76,Right
100.4,Right
101.5,Both
102.6,Both
103.68,Both
110.22,Right
112.4,Left
115.12,Left
118.96,Left
121.12,Left
122.76,Right
124.92,Left
127.14,Left
128.22,Both
129.86,Both
134.76,Right
138.58,Right
