6.34,Left
12.74,Left
14.08,Right
15,Both
17.72,Right
18.64,Right
20,Left
20.22,Right
20.44,Left
22.28,Left
23.64,Right
23.87,Left
24.1,Right
25.46,Right
26.82,Both
27.7,Both
29.08,Right
30.46,Both
31.36,Left
34.54,Both
39.1,Left
40.42,Left
41.82,Both
47.26,Left
49.1,Left
49.96,Both
50.9,Both
52.72,Right
52.95,Left
53.18,Right
57.72,Both
58.66,Right
59.96,Both
60.88,Right
61.82,Right
65.92,Both
66.82,Left
68.62,Right
69.52,Right
71.8,Right
72.7,Left
73.62,Right
74.52,Right
78.16,Both
80.44,Right
81.8,Right
82.72,Both
83.62,Both
84.56,Both
90.02,Right
91.78,Left
94.08,Left
97.32,Left
98.18,Both
100.46,Right
101.8,Both
102.7,Both
104.54,Left
105.46,Both
106.8,Both
110.9,Right
114.1,Right
115.46,Left
117.72,Left
119.54,Left
121.8,Left
124.1,Right
126.36,Both
129.08,Both
130.44,Right
130.66,Left
130.88,Right
131.82,Right
134.08,Both
135.48,Right
135.7,Left
135.92,Right
136.8,Right
143.18,Right
144.08,Right
146.34,Left
148.62,Right
149.98,Both
152.26,Left
153.14,Left
154.06,Right
155.88,Right
157.26,Right
159.02,Right
160.36,Right
162.24,Both
165.9,Both
166.82,Right
169.1,Left
170.9,Both
172.74,Left
176.38,Both
