13.1,Left
14.9,Right
16.24,Both
19.42,Right
20.76,Right
23.02,Right
27.08,Left
30.24,Both
31.6,Both
33.4,Right
35.2,Both
36.54,Left
40.16,Both
45.12,Left
47.38,Right
48.72,Both
54.6,Left
56.84,Left
58.1,Both
59.32,Both
61.32,Right
64.98,Both
66.96,Right
68.6,Both
71.52,Right
76.26,Both
77.6,Left
79.86,Right
81.22,Right
86.3,Both
88.1,Right
91.36,Both
93.52,Right
94.96,Right
95.98,Both
97.7,Both
98.72,Both
105.6,Right
107.84,Left
111.9,Left
115.5,Left
117.74,Left
119.94,Right
123.12,Left
125.42,Left
126.78,Both
128.62,Both
133.08,Right
136.7,Right
141.66,Left
143.92,Left
146.64,Left
149.34,Right
152.5,Right
154.74,Both
156.56,Right
156.78,Left
157,Right
158.44,Right
161.68,Both
