21.24,Left
23.08,Right
24.4,Both
28.68,Right
30.08,Right
32.34,Both
35.24,Left
37.38,Right
38.86,Right
41.06,Both
42.42,Both
44.38,Right
46.38,Both
47.7,Left
52.38,Both
59.06,Left
61.06,Left
63.02,Both
71.06,Left
73.72,Left
75.02,Both
76.38,Both
79.06,Right
85.06,Both
86.4,Right
88.36,Both
92.4,Right
98.4,Both
99.74,Left
102.38,Right
103.72,Right
107.04,Right
108.38,Left
109.72,Right
111.04,Right
116.36,Both
119.7,Right
121.72,Right
123.04,Both
124.38,Both
125.72,Both
133.72,Right
136.38,Left
139.72,Left
144.38,Left
147.06,Left
149.02,Right
151.7,Left
154.34,Left
155.7,Both
157.72,Both
163.68,Right
168.36,Right
175.06,Left
177.72,Left
181.02,Left
184.38,Right
188.38,Right
191.04,Both
193.04,Right
193.37,Left
193.7,Right
195.04,Right
198.4,Both
200.38,Right
200.72,Left
201.06,Right
202.4,Right
211.72,Right
213.06,Right
216.36,Left
219.72,Right
221.7,Both
224.82,Left
226,Left
227.22,Right
